person_age,person_gender,person_0,person_income,person_emp_exp,person_home_2ership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
23,1,Bachelor,32015,0,0,4500,1,8.49,0.14,2,667,0,1
25,1,Associate,38354,1,0,4500,2,6.92,0.12,3,656,0,0
24,1,Bachelor,39099,2,0,4500,1,7.29,0.12,4,580,1,0
23,0,Bachelor,40158,3,0,4500,0,7.49,0.11,4,639,1,0
22,0,Bachelor,48780,0,1,4800,0,5.42,0.1,2,595,0,0
22,0,Bachelor,40596,0,0,4500,4,7.88,0.11,3,681,0,0
23,1,High School,40603,0,0,4500,3,15.05,0.11,4,649,0,1
21,0,Associate,49332,0,1,8000,3,6.92,0.16,4,668,1,0
22,1,Master,43095,0,0,4500,2,14.27,0.1,2,629,1,0
23,0,High School,43079,2,0,4500,4,10.59,0.1,2,657,0,0
24,1,Bachelor,42780,0,0,4500,1,12.87,0.11,3,652,0,0
22,1,High School,49363,0,1,8000,1,10.74,0.16,3,628,1,0
23,0,Associate,49078,1,1,14000,2,11.01,0.29,3,521,1,0
21,0,High School,43944,0,0,4500,0,6.62,0.1,2,603,0,0
26,0,High School,48939,3,1,16000,1,11.01,0.33,3,542,1,0
26,1,Associate,41812,4,1,12250,4,6.91,0.29,4,597,0,1
22,1,Bachelor,44119,0,0,4500,0,6.17,0.1,3,495,1,0
24,1,Bachelor,44145,0,0,4500,2,7.14,0.1,4,667,1,0
22,0,Associate,48633,0,2,6000,1,9.25,0.12,3,619,0,0
22,1,Associate,45723,0,0,4500,2,11.03,0.1,2,517,1,0
23,1,High School,48808,1,1,7000,1,8.88,0.14,3,627,1,0
24,1,High School,45951,1,0,4500,4,5.42,0.1,4,636,0,0
24,0,High School,49231,4,2,6900,4,6.91,0.14,3,641,0,0
22,1,Associate,39716,0,0,4500,1,9.63,0.11,2,536,0,1
24,0,High School,46965,4,0,4500,1,10.83,0.1,2,638,0,0
23,1,Associate,46726,1,0,4500,0,7.88,0.1,2,659,1,0
24,0,Master,41736,3,1,7000,3,14.09,0.17,2,578,0,1
24,0,Master,47690,2,0,4500,2,10.99,0.09,4,694,1,0
22,0,Bachelor,49316,0,0,4500,0,13.43,0.09,4,649,0,0
22,0,High School,48977,0,0,4500,0,7.66,0.09,3,599,0,0
26,0,Master,48722,2,0,4500,1,7.74,0.09,2,634,0,0
25,0,Master,49314,1,2,12000,0,14.83,0.24,4,681,1,0
24,1,Bachelor,48803,3,0,4500,1,12.84,0.09,3,636,0,0
22,0,Bachelor,48989,1,1,4000,2,10.36,0.08,4,680,0,0
24,1,Associate,42201,2,0,4500,0,14.84,0.11,3,618,0,1
23,0,Bachelor,50330,0,0,4500,4,12.99,0.09,4,623,1,0
25,0,Associate,48863,6,1,5000,1,12.61,0.1,4,540,1,0
21,1,Master,44392,0,0,4500,2,17.27,0.1,2,548,0,1
24,1,High School,49052,0,1,3500,1,8.88,0.07,2,630,0,0
26,1,High School,48868,4,1,5300,5,5.42,0.11,2,640,0,0
21,1,High School,51111,0,0,4500,3,6.03,0.09,4,625,1,0
22,0,High School,51434,0,0,4500,3,11.49,0.09,4,639,1,0
21,0,Master,49221,0,1,6000,3,5.79,0.12,3,543,1,0
26,1,Bachelor,51390,5,0,4500,4,7.66,0.09,2,655,1,0
25,1,Associate,53098,3,0,4500,1,6.76,0.08,2,628,0,0
25,0,Associate,53945,3,0,4500,3,5.99,0.08,3,671,0,0
26,1,Master,53841,4,0,4500,1,7.74,0.08,3,704,1,0
23,0,High School,54903,0,0,4500,2,9.25,0.08,4,653,1,0
21,1,High School,50159,0,0,4500,3,13.49,0.09,3,588,0,1
22,0,Associate,48818,0,1,4800,4,11.01,0.1,2,635,0,0
26,1,High School,58668,5,0,4500,3,11.11,0.08,4,627,1,0
23,0,Bachelor,59556,0,0,4500,3,12.21,0.08,4,559,1,0
22,0,High School,54018,1,0,4500,4,14.46,0.08,2,641,0,1
22,1,Associate,54097,1,0,4500,4,5.79,0.08,3,624,0,1
21,1,High School,49270,0,1,2500,1,6.76,0.05,4,563,1,0
24,0,Bachelor,49004,0,2,1000,2,6.76,0.02,3,602,1,0
23,1,Associate,64305,2,0,4500,0,6.76,0.07,4,661,1,0
24,0,High School,66038,2,0,4500,4,7.14,0.07,4,592,1,0
26,0,Bachelor,49311,3,2,10000,5,11.86,0.2,4,630,0,0
22,1,Associate,58920,0,0,4500,5,9.76,0.08,2,450,0,1
22,1,Associate,41799,0,1,7750,4,15.21,0.19,2,541,0,1
26,0,Associate,66406,1,0,4500,1,11.01,0.07,3,585,1,0
23,1,Bachelor,49018,1,1,4000,4,7.14,0.08,3,524,1,0
24,1,High School,48960,0,2,2000,4,14.35,0.04,2,640,1,0
24,0,Associate,67018,1,0,4500,3,7.9,0.07,2,649,1,0
23,0,Master,67066,0,0,4500,2,8.49,0.07,3,602,1,0
22,0,Associate,66890,1,0,4500,3,6.76,0.07,4,530,1,0
24,1,Associate,49086,2,1,15250,2,13.98,0.31,2,543,1,0
24,1,Bachelor,48776,3,1,8000,2,11.01,0.16,4,613,1,0
26,0,Bachelor,71283,1,0,4500,1,6.03,0.06,2,603,1,0
23,1,Bachelor,71709,4,0,4500,1,12.68,0.06,3,683,1,0
25,1,Master,48828,5,2,8000,0,10.38,0.16,4,700,0,0
23,1,Associate,65316,0,0,4500,5,8.49,0.07,2,542,0,1
23,1,Associate,65598,1,0,4500,0,11.01,0.07,2,661,0,1
23,1,Associate,75470,3,0,4500,2,12.42,0.06,2,574,1,0
22,1,High School,49297,0,1,8100,4,7.14,0.16,3,467,1,0
25,1,High School,72955,4,0,4500,5,10.99,0.06,2,596,0,1
23,1,Bachelor,49145,0,1,4000,0,6.39,0.08,3,554,1,0
24,1,Bachelor,89982,2,0,4500,4,12.18,0.05,4,612,1,0
25,1,Master,95980,3,0,4500,0,8.63,0.05,2,644,0,0
25,0,High School,96657,1,0,4500,2,13.06,0.05,2,606,1,0
25,0,Associate,99732,1,0,4500,3,7.42,0.05,3,656,1,0
25,1,Bachelor,102473,2,0,4500,5,12.18,0.04,2,669,1,0
24,1,Bachelor,105441,1,0,4500,2,11.01,0.04,4,600,1,0
24,1,Master,49023,1,1,10500,2,11.36,0.21,4,614,1,0
24,1,High School,49113,0,1,10000,4,9.88,0.2,2,589,1,0
21,1,Associate,49184,0,2,5600,2,10.25,0.11,3,654,0,0
25,1,High School,166754,5,0,4500,0,13.43,0.03,3,668,1,0
23,0,Master,26008,0,0,4550,0,13.72,0.17,3,579,1,0
21,1,Master,41748,0,1,10000,0,10.62,0.24,2,714,0,1
22,0,Master,37174,0,0,4550,3,12.84,0.12,3,647,1,0
23,1,Bachelor,51821,0,0,4550,0,15.23,0.09,4,674,1,0
26,1,Bachelor,157081,2,0,4550,5,13.57,0.03,2,690,0,0
21,1,High School,29647,0,0,4600,0,13.99,0.16,2,461,1,0
23,0,High School,34450,0,0,4600,1,6.03,0.13,3,613,1,0
26,1,High School,48992,3,1,6000,1,10.62,0.12,4,659,0,0
21,1,Master,35471,3,0,4600,4,11.01,0.13,2,668,0,0
24,1,Bachelor,37030,1,0,4600,1,11.01,0.12,2,657,1,0
22,1,Bachelor,49053,2,1,4750,2,11.01,0.1,2,585,1,0
23,1,High School,40398,0,0,4600,0,11.71,0.11,3,597,1,0
23,0,Master,49098,0,0,4600,2,10.59,0.09,3,669,1,0
25,0,Bachelor,48842,4,1,10000,3,7.14,0.2,4,654,0,0
23,0,High School,56796,0,0,4600,0,11.01,0.08,4,644,1,0
21,0,Bachelor,48788,0,1,9000,1,7.51,0.18,4,563,1,0
25,0,Associate,49236,2,1,4750,3,11.01,0.1,3,682,0,0
26,0,High School,53870,1,0,4600,3,13.99,0.09,4,628,0,1
21,0,Bachelor,63322,0,0,4600,4,8.59,0.07,2,646,1,0
21,0,Bachelor,48786,0,1,8000,0,11.01,0.16,3,618,1,0
23,0,Master,63767,2,0,4600,4,14.96,0.07,2,600,0,1
26,0,Bachelor,64636,4,0,4600,3,15.62,0.07,4,633,0,1
24,1,High School,49209,3,1,4000,3,7.14,0.08,4,543,1,0
23,0,Bachelor,48826,1,1,12000,0,9.88,0.25,2,666,0,0
25,1,Master,41835,3,1,5800,5,13.48,0.14,3,632,0,1
22,1,Bachelor,48700,0,1,4000,0,12.73,0.08,2,695,0,0
24,1,High School,89096,3,0,4600,1,9.99,0.05,2,656,1,0
24,0,High School,120863,3,0,4600,0,8.49,0.04,2,681,1,0
22,1,High School,48883,3,2,6400,2,14.22,0.13,2,649,1,0
24,1,High School,28168,2,0,4650,1,9.99,0.17,4,688,0,0
24,1,Bachelor,48837,2,1,15000,3,9.88,0.31,2,648,0,0
24,0,High School,49100,5,1,10000,2,11.83,0.2,3,638,1,0
21,0,High School,39258,1,0,4650,2,9.32,0.12,2,638,0,0
22,1,Associate,58619,0,0,4650,1,10.99,0.08,4,621,1,0
24,0,High School,39143,2,0,4700,2,8.94,0.12,3,644,1,0
25,0,Associate,48893,6,0,4700,1,12.09,0.1,3,593,0,0
24,1,Bachelor,48930,0,2,9000,5,8.94,0.18,3,677,0,0
23,1,Bachelor,50285,0,0,4700,4,7.9,0.09,2,637,1,0
26,0,High School,49092,7,1,1750,2,11.83,0.04,4,634,1,0
24,0,Associate,55099,0,0,4700,3,10.96,0.09,2,617,1,0
26,0,Bachelor,24681,3,0,4725,1,11.22,0.19,3,664,0,1
26,1,High School,34155,7,0,4725,1,6.54,0.14,2,613,0,0
24,0,Master,49023,0,2,7500,5,13.22,0.15,3,616,1,0
24,1,Associate,15472,0,0,4750,0,10.75,0.31,4,587,0,1
21,1,Bachelor,17316,0,0,4750,4,12.73,0.27,3,678,0,1
22,1,Associate,18063,0,0,4750,4,14.61,0.26,4,642,0,1
26,1,Bachelor,17905,5,0,4750,3,10.25,0.27,2,637,0,1
23,1,High School,18616,1,0,4750,0,11.11,0.26,2,637,0,1
21,1,High School,48751,0,1,9000,0,11.14,0.18,3,623,1,0
26,0,Associate,19022,5,0,4750,4,8.49,0.25,3,624,0,1
25,1,High School,19415,3,0,4750,4,13.85,0.24,4,634,0,1
22,0,Associate,20188,0,0,4750,0,13.16,0.24,3,687,0,1
23,0,Bachelor,49380,1,2,12000,2,11.14,0.24,3,655,1,0
22,1,Bachelor,25581,0,0,4750,3,11.49,0.19,2,692,1,0
25,1,High School,25389,3,0,4750,2,12.98,0.19,4,592,0,0
24,0,High School,48937,1,1,3400,3,7.4,0.07,3,664,0,0
22,0,Associate,26302,0,0,4750,0,11.01,0.18,2,623,0,0
25,1,Master,29654,1,0,4750,1,10.38,0.16,4,588,1,0
24,1,Master,29880,2,0,4750,3,10.62,0.16,3,705,0,0
21,0,Bachelor,32445,1,0,4750,4,12.23,0.15,3,632,1,0
24,0,Bachelor,41604,3,1,10000,4,15.31,0.24,2,641,0,1
24,1,Associate,36017,4,0,4750,0,11.01,0.13,4,671,0,0
22,1,Bachelor,48651,0,2,6000,0,11.48,0.12,4,637,1,0
24,1,High School,49360,5,1,3000,0,15.65,0.06,2,588,0,0
23,1,Bachelor,48943,0,1,4000,0,11.48,0.08,3,572,1,0
22,1,Associate,17019,0,0,4800,1,12.53,0.28,4,522,0,1
21,0,High School,19190,0,0,4800,2,8.49,0.25,3,666,0,1
24,0,Associate,18691,1,0,4800,4,16.95,0.26,3,589,0,1
21,1,Bachelor,20273,0,0,4800,1,15.37,0.24,3,639,0,1
22,1,Associate,24576,0,0,4800,3,10.99,0.2,2,681,0,1
26,1,Bachelor,25281,3,0,4800,3,7.49,0.19,2,623,1,0
24,0,High School,25112,3,0,4800,1,11.14,0.19,4,654,0,0
24,0,Master,48826,4,1,5000,2,8.59,0.1,3,676,1,0
22,0,Master,49048,0,1,7000,3,9.32,0.14,3,532,1,0
23,1,Bachelor,25538,0,0,4800,4,11.01,0.19,2,677,0,0
26,0,Associate,49090,4,1,10750,2,12.84,0.22,4,619,1,0
23,0,Associate,49024,4,1,3500,0,12.21,0.07,3,657,1,0
22,0,Bachelor,26475,0,0,4800,1,10.75,0.18,3,686,0,0
26,0,Master,26094,4,0,4800,2,7.75,0.18,4,655,0,0
22,1,Bachelor,26702,0,0,4800,1,13.49,0.18,3,559,1,0
21,1,Bachelor,27714,1,0,4800,1,7.88,0.17,2,679,0,0
26,0,Associate,49190,3,1,3250,2,8,0.07,4,656,1,0
21,1,Bachelor,41934,1,3,9600,2,15.68,0.23,2,648,0,1
23,0,Associate,28759,0,0,4800,0,6.17,0.17,2,681,0,0
22,0,Bachelor,29487,4,0,4800,3,11.86,0.16,3,670,0,0
22,1,Master,48993,0,1,10000,4,11.01,0.2,3,641,1,0
22,1,Master,29754,0,0,4800,0,7.49,0.16,2,598,0,0
26,1,Master,29680,3,0,4800,0,11.01,0.16,3,656,0,0
22,1,Associate,30687,0,0,4800,1,10.65,0.16,2,448,1,0
25,0,High School,32604,0,0,4800,4,10.65,0.15,4,535,1,0
22,1,Bachelor,31921,0,0,4800,1,10.99,0.15,4,676,0,0
24,0,Bachelor,32465,3,0,4800,0,13.35,0.15,3,648,1,0
23,1,Associate,32714,2,0,4800,4,11.01,0.15,4,552,1,0
21,1,Bachelor,33264,0,0,4800,3,13.49,0.14,4,621,1,0
21,1,Associate,33453,0,0,4800,0,7.51,0.14,2,525,1,0
22,0,Master,48865,0,1,8000,4,16,0.16,3,720,1,0
21,1,High School,34417,0,0,4800,4,6.62,0.14,4,598,1,0
26,0,Doctorate,34735,4,0,4800,1,9.25,0.14,4,691,0,0
22,1,Master,35218,0,0,4800,1,12.99,0.14,4,695,0,0
25,1,High School,41647,4,1,3000,5,10.51,0.07,3,642,0,1
22,0,Master,36486,0,0,4800,0,11.99,0.13,4,648,0,0
23,1,High School,48813,5,1,1200,2,10.83,0.02,2,655,0,0
24,1,Bachelor,37230,2,0,4800,0,6.99,0.13,4,684,0,0
23,0,High School,36858,3,0,4800,0,7.49,0.13,3,680,1,0
24,1,High School,36826,0,0,4800,2,11.49,0.13,2,606,1,0
24,1,High School,37007,1,0,4800,0,13.35,0.13,3,610,1,0
23,1,Bachelor,36724,0,0,4800,0,11.01,0.13,4,652,1,0
26,0,Associate,48818,3,1,5200,2,10.08,0.11,3,685,0,0
25,0,High School,36757,3,0,4800,3,11.22,0.13,3,677,1,0
24,1,Associate,48780,1,2,1000,1,7.37,0.02,2,645,0,0
22,1,Bachelor,49289,0,1,5000,1,7.68,0.1,4,681,0,0
22,0,Master,38588,2,0,4800,2,10.37,0.12,4,614,1,0
24,0,Associate,39391,2,0,4800,1,10.59,0.12,2,660,0,0
22,1,Associate,39191,0,0,4800,3,16.49,0.12,2,621,0,1
22,1,Master,39554,2,0,4800,3,11.11,0.12,4,661,0,0
25,0,Master,39427,0,0,4800,0,7.14,0.12,3,674,1,0
22,0,Bachelor,48951,0,1,8000,3,9.76,0.16,4,686,1,0
22,1,Associate,39631,0,0,4800,0,13.61,0.12,4,689,0,0
23,1,Bachelor,39997,0,0,4800,2,11.99,0.12,2,619,1,0
26,1,Bachelor,40737,5,0,4800,0,12.69,0.12,4,616,1,0
22,1,Bachelor,40665,0,0,4800,1,7.49,0.12,4,475,1,0
22,1,Associate,49138,0,1,13025,0,10.14,0.27,3,648,1,0
26,1,Master,48951,5,2,15000,1,9.64,0.31,4,721,0,0
24,0,Associate,40777,2,0,4800,1,14.91,0.12,4,584,0,1
24,1,High School,48903,1,2,5000,1,11.86,0.1,4,606,1,0
23,1,Associate,41839,3,1,2525,3,13.12,0.06,3,545,0,1
23,1,Master,40459,0,0,4800,3,14.54,0.12,3,715,0,1
25,0,Associate,41828,3,1,15450,2,11.22,0.37,4,687,0,1
24,0,Master,41244,4,0,4800,1,11.86,0.12,2,658,1,0
26,1,Associate,43004,6,0,4800,3,8.9,0.11,2,694,1,0
22,1,High School,49248,0,1,6000,2,9.91,0.12,2,640,0,0
22,0,Master,42556,1,0,4800,0,5.42,0.11,3,643,1,0
25,1,High School,43184,4,0,4800,2,11.14,0.11,2,621,1,0
25,1,Associate,42667,2,0,4800,1,10.28,0.11,2,619,0,0
23,0,High School,49187,2,3,10000,0,12.72,0.2,2,583,0,0
24,1,High School,48858,4,1,5000,5,7.14,0.1,2,632,0,0
22,0,Bachelor,37192,3,0,4800,4,11.01,0.13,3,586,0,1
23,1,Associate,44258,0,0,4800,4,11.11,0.11,3,636,0,0
21,0,High School,49300,1,1,7200,1,7.88,0.15,2,592,1,0
25,1,High School,36926,3,0,4800,5,15.95,0.13,2,614,0,1
26,0,Associate,48850,1,1,7000,4,7.4,0.14,2,603,0,0
22,1,Bachelor,49399,1,1,6625,3,15.23,0.13,3,625,0,0
26,1,Master,49262,0,1,10000,0,11.86,0.2,3,694,0,0
23,0,High School,49309,0,1,5000,0,7.68,0.1,4,463,1,0
25,1,Master,46571,4,0,4800,1,11.71,0.1,4,666,1,0
22,1,Associate,39983,0,0,4800,4,13.98,0.12,2,687,0,1
22,0,Bachelor,47452,0,0,4800,0,13.8,0.1,3,676,0,0
26,1,High School,49190,5,0,4800,0,12.99,0.1,4,628,1,0
22,1,Associate,49556,0,1,11500,1,11.83,0.23,4,650,0,0
24,0,Bachelor,49774,0,0,4800,1,13.85,0.1,3,698,0,0
22,0,High School,50707,0,0,4800,0,11.89,0.09,3,602,0,0
25,1,Master,49511,0,1,6500,5,9.63,0.13,4,661,0,0
22,1,Associate,50528,0,0,4800,0,12.99,0.09,4,591,1,0
22,1,High School,51229,0,0,4800,3,14.35,0.09,4,599,1,0
25,0,Associate,51023,3,0,4800,3,13.22,0.09,4,524,1,0
22,0,Master,52607,0,0,4800,4,11.03,0.09,4,639,0,0
22,0,Associate,49870,2,1,6250,2,11.01,0.13,2,646,1,0
26,0,Doctorate,54861,3,0,4800,0,14.65,0.09,2,656,1,0
25,0,High School,55202,0,0,4800,0,7.51,0.09,3,544,1,0
26,1,Bachelor,55223,8,0,4800,1,5.42,0.09,2,534,0,0
23,0,Bachelor,48030,0,0,4800,4,17.99,0.1,4,672,0,1
26,1,High School,50086,4,1,3500,5,7.14,0.07,4,691,1,0
26,0,Bachelor,49812,2,1,10000,4,13.48,0.2,3,677,1,0
26,1,Associate,54966,3,0,4800,4,13.06,0.09,4,656,0,0
22,1,High School,49894,0,1,17050,0,11.01,0.34,2,667,0,0
21,0,Master,55427,0,0,4800,2,7.51,0.09,4,601,1,0
23,1,Associate,54705,4,0,4800,4,13.98,0.09,2,644,1,0
23,1,Bachelor,55344,1,0,4800,0,13.22,0.09,4,689,1,0
25,1,Bachelor,55243,4,0,4800,4,9.45,0.09,4,616,1,0
26,1,Bachelor,55440,4,0,4800,2,9.25,0.09,2,549,1,0
24,1,Associate,56047,4,0,4800,3,7.49,0.09,2,573,1,0
24,1,High School,56129,0,0,4800,4,8.9,0.09,2,537,1,0
24,0,Bachelor,49807,4,1,8000,1,11.99,0.16,4,590,1,0
22,1,Bachelor,50419,0,1,7975,4,5.79,0.16,3,596,1,0
25,0,Bachelor,49750,2,1,9700,1,9.63,0.19,4,538,1,0
21,1,Associate,58178,0,0,4800,3,7.9,0.08,2,525,1,0
23,1,Master,50056,0,1,10400,1,10,0.21,2,605,1,0
23,0,High School,58447,0,0,4800,2,7.9,0.08,3,628,1,0
24,1,High School,50129,2,1,1200,0,11.01,0.02,3,649,1,0
26,1,Associate,51109,4,0,4800,2,14.27,0.09,2,567,0,1
23,0,High School,49900,1,2,21000,1,6.17,0.42,3,635,1,0
24,1,High School,51466,1,0,4800,0,15.23,0.09,2,517,0,1
22,1,High School,49672,0,2,10000,2,12.61,0.2,2,593,0,0
23,1,Associate,58235,0,0,4800,1,5.42,0.08,3,681,1,0
25,1,Associate,49567,1,1,8000,5,5.79,0.16,2,646,1,0
22,0,Master,58507,0,0,4800,3,12.98,0.08,2,675,1,0
24,0,Bachelor,50177,2,2,14400,2,14.35,0.29,2,569,0,0
25,0,High School,58577,0,0,4800,1,11.01,0.08,3,666,1,0
26,0,Associate,50475,4,1,7500,4,7.88,0.15,2,583,0,0
24,1,High School,58592,2,0,4800,4,9.88,0.08,3,667,1,0
23,1,Bachelor,59068,0,0,4800,3,10.36,0.08,3,668,0,0
23,0,Associate,59647,1,0,4800,1,11.36,0.08,4,650,0,0
23,0,Master,49747,0,1,10000,1,7.14,0.2,2,667,1,0
23,0,High School,49792,0,1,16000,0,11.01,0.32,4,678,1,0
25,1,Master,61120,5,0,4800,0,15.96,0.08,2,644,1,0
24,0,Associate,49777,1,1,6000,0,12.92,0.12,3,667,0,0
25,1,Master,61063,4,0,4800,2,10.99,0.08,4,668,1,0
22,1,High School,49834,0,1,13750,0,10.83,0.28,4,563,1,0
23,1,High School,49989,2,2,12200,1,11.36,0.24,4,655,0,0
22,1,High School,43124,0,1,3600,3,15.7,0.08,4,663,0,1
23,0,Associate,42958,0,1,4000,1,11.01,0.09,4,608,0,1
23,1,Associate,60987,4,0,4800,0,10.37,0.08,3,654,1,0
22,0,Bachelor,61156,0,0,4800,1,12.68,0.08,3,663,0,0
26,0,Master,60925,4,0,4800,2,11.01,0.08,3,655,1,0
24,1,Bachelor,60907,0,0,4800,2,13.22,0.08,4,547,1,0
26,1,Bachelor,63473,1,0,4800,0,9.99,0.08,2,672,1,0
23,0,Bachelor,63127,1,0,4800,0,9.88,0.08,2,571,1,0
24,0,Associate,67014,0,0,4800,4,6.92,0.07,3,649,0,0
21,1,Bachelor,67281,0,0,4800,0,11.12,0.07,4,694,1,0
25,1,High School,59575,4,0,4800,1,14.96,0.08,2,665,0,1
23,1,Associate,50084,0,1,6000,0,6.03,0.12,4,606,0,0
25,1,Master,67148,2,0,4800,1,7.9,0.07,3,617,1,0
22,1,Bachelor,50396,1,1,12000,0,6.03,0.24,2,692,0,0
23,1,High School,69313,0,0,4800,4,10.38,0.07,3,662,1,0
21,1,Bachelor,49981,0,1,7000,3,6.03,0.14,3,563,1,0
26,1,Bachelor,63146,3,0,4800,1,17.99,0.08,4,637,0,1
26,1,Master,49958,5,1,8000,4,6.03,0.16,3,684,1,0
26,1,Bachelor,64635,3,0,4800,4,15.62,0.07,3,561,0,1
26,0,Master,73108,5,0,4800,5,7.9,0.07,3,704,1,0
24,0,Bachelor,73028,3,0,4800,5,6.54,0.07,4,504,1,0
22,0,Master,50188,0,1,6400,2,9.99,0.13,4,641,0,0
24,0,Associate,75350,3,0,4800,4,7.14,0.06,3,684,0,0
26,0,Associate,50372,6,2,9000,5,11.01,0.18,4,542,1,0
22,0,High School,50455,0,2,1000,4,6.99,0.02,2,609,0,0
26,0,Bachelor,78978,0,0,4800,5,13.72,0.06,2,679,1,0
24,1,Associate,78850,1,0,4800,4,7.88,0.06,4,565,1,0
24,0,High School,50079,1,1,2500,2,7.29,0.05,2,655,0,0
25,0,High School,79012,4,0,4800,5,13.49,0.06,3,667,1,0
21,1,High School,50089,0,1,3000,4,5.79,0.06,4,632,1,0
21,1,High School,50546,0,1,8200,4,6.91,0.16,3,619,1,0
23,0,High School,43084,0,1,5000,0,12.98,0.12,3,660,0,1
22,1,Master,50440,0,1,6000,0,11.86,0.12,2,669,0,0
23,1,Bachelor,83781,0,0,4800,1,10.75,0.06,2,647,1,0
23,0,Bachelor,85041,2,0,4800,4,11.01,0.06,2,578,1,0
26,0,Master,87463,0,0,4800,5,11.86,0.05,3,692,0,0
24,1,High School,87440,1,0,4800,5,7.14,0.05,2,557,1,0
22,0,High School,81546,0,0,4800,3,16.7,0.06,2,689,0,1
24,0,Bachelor,83789,1,0,4800,3,15.21,0.06,4,612,0,1
22,1,High School,91021,0,0,4800,3,12.21,0.05,2,596,1,0
24,1,High School,50298,0,2,10000,5,15.33,0.2,4,628,1,0
24,0,Master,50147,0,1,9000,3,9.88,0.18,2,688,0,0
23,0,High School,50210,2,1,10000,2,14.96,0.2,2,651,1,0
22,1,Associate,50259,1,1,7750,3,9.88,0.15,3,660,1,0
23,0,Bachelor,104205,0,0,4800,2,9.62,0.05,3,640,0,0
26,1,Bachelor,107935,5,0,4800,0,5.99,0.04,2,620,0,0
21,0,Bachelor,108794,0,0,4800,0,9.62,0.04,3,610,0,0
23,0,Master,111790,0,0,4800,1,10,0.04,3,704,0,0
22,1,Associate,50062,0,2,2500,1,14.96,0.05,4,560,1,0
26,0,Bachelor,115204,5,0,4800,3,11.01,0.04,4,654,1,0
22,1,Associate,50444,1,1,6000,2,8.59,0.12,4,690,1,0
24,0,Master,125079,3,0,4800,2,10.74,0.04,2,678,1,0
24,0,Associate,126839,2,0,4800,5,11.01,0.04,2,643,1,0
22,1,Associate,49867,0,1,3000,0,12.18,0.06,4,684,0,0
21,1,Bachelor,50084,0,2,5000,4,7.74,0.1,3,678,1,0
22,0,Bachelor,138701,0,0,4800,1,7.88,0.03,2,651,1,0
25,1,High School,145174,0,0,4800,4,14.22,0.03,3,542,1,0
23,1,Bachelor,50224,2,1,6000,3,9.32,0.12,3,616,1,0
24,0,Bachelor,151335,0,0,4800,4,6.76,0.03,3,568,1,0
23,0,Master,50171,1,1,4500,2,10.95,0.09,4,643,1,0
22,0,Master,28822,0,0,4850,2,14.27,0.17,4,696,0,0
24,1,Associate,49180,5,0,4850,0,6.62,0.1,2,672,1,0
24,0,Associate,65759,2,0,4850,5,8.49,0.07,2,616,1,0
23,1,Master,50407,2,1,7500,1,10.71,0.15,2,717,0,0
23,1,Master,50246,0,1,5500,3,10.71,0.11,4,657,1,0
25,1,Associate,26909,0,0,4900,0,13.72,0.18,2,662,1,0
21,0,High School,50274,0,1,24250,2,10.75,0.48,2,644,1,0
25,0,Bachelor,50402,0,2,4000,2,6.76,0.08,3,652,1,0
25,0,Bachelor,50302,0,2,12000,4,11.01,0.24,2,615,1,0
23,0,Associate,115035,0,0,10000,4,10.99,0.09,4,626,0,0
26,1,Associate,50038,5,1,16000,2,10.95,0.32,3,650,1,0
23,0,High School,49983,3,1,10000,2,9.32,0.2,4,656,1,0
25,1,Master,100587,2,0,10000,0,13.22,0.1,3,648,0,1
23,1,Bachelor,116092,3,0,10000,4,10.65,0.09,3,645,1,0
26,1,Associate,116510,4,0,10000,5,19.69,0.09,3,654,1,0
21,0,Master,49852,0,1,5700,3,12.99,0.11,4,678,1,0
24,0,High School,50554,5,2,5600,4,6.03,0.11,3,692,0,0
24,0,Associate,50397,1,2,9200,2,12.42,0.18,2,592,0,0
23,1,Bachelor,117270,4,0,10000,0,13.99,0.09,3,547,1,0
24,1,Bachelor,118634,2,0,10000,5,7.51,0.08,4,587,0,0
25,0,Master,118316,2,0,10000,3,12.69,0.08,4,595,0,0
23,0,Associate,50264,0,1,16000,0,11.83,0.32,2,651,1,0
26,1,Associate,119780,4,0,10000,4,7.29,0.08,2,686,1,0
25,1,High School,120202,0,0,10000,4,14.65,0.08,3,661,0,0
21,1,Bachelor,50455,0,2,8000,4,11.48,0.16,3,479,1,0
24,1,Associate,106531,2,0,10000,3,14.84,0.09,2,610,0,1
22,0,Bachelor,121196,1,0,10000,0,9.32,0.08,4,599,1,0
22,1,Bachelor,121098,0,0,10000,0,10.65,0.08,3,559,0,0
24,1,Associate,120913,1,0,10000,4,7.51,0.08,3,622,0,0
25,1,High School,120772,6,0,10000,2,6.62,0.08,4,649,1,0
25,1,High School,106548,2,0,10000,0,17.88,0.09,4,640,0,1
24,0,Master,121317,4,0,10000,5,16.4,0.08,2,599,1,0
21,1,High School,106388,0,0,10000,2,17.93,0.09,3,616,0,1
23,1,Bachelor,121014,0,0,10000,4,11.46,0.08,2,614,1,0
21,1,High School,123563,0,0,10000,0,11.01,0.08,3,616,0,0
23,0,Bachelor,51403,0,2,7200,2,11.01,0.14,2,671,0,0
26,1,Bachelor,123577,2,0,10000,1,8.59,0.08,2,638,0,0
